t,selected,mass,export,input_monomers,input_molecules
1.991659716430358884e+01,1.999999903386070961e-09,1.000000000000000178e+01,4.237317577268112808e-06,1.991659716430358742e+02,1.194995829858215473e+02
2.008256880733945238e+01,1.999999904059534119e-09,1.000000000000000178e+01,4.274495223490679876e-06,2.008256880733945025e+02,1.204954128440367356e+02
2.024854045037531591e+01,1.999999904643906616e-09,1.000000000000000178e+01,4.311672869723224993e-06,2.024854045037531307e+02,1.214912427022519097e+02
2.041451209341117590e+01,1.999999905137224312e-09,1.000000000000000178e+01,4.348850515965967540e-06,2.041451209341117305e+02,1.224870725604670696e+02
2.058048373644703943e+01,1.999999905555782665e-09,1.000000000000000178e+01,4.386028162217084701e-06,2.058048373644703872e+02,1.234829024186822437e+02
2.074645537948290297e+01,1.999999905917562514e-09,1.000000000000000178e+01,4.423205808474560539e-06,2.074645537948290155e+02,1.244787322768974320e+02
2.091242702251876651e+01,1.999999906230715723e-09,1.000000000000000000e+01,4.460383454737481952e-06,2.091242702251876437e+02,1.254745621351126204e+02
2.107839866555463004e+01,1.999999906496764305e-09,1.000000000000000000e+01,4.497561101005679532e-06,2.107839866555462720e+02,1.264703919933277945e+02
2.124437030859049358e+01,1.999999906724702608e-09,1.000000000000000000e+01,4.534738747278146159e-06,2.124437030859049287e+02,1.274662218515429828e+02
2.141034195162635712e+01,1.999999906919304292e-09,1.000000000000000000e+01,4.571916393554345660e-06,2.141034195162635569e+02,1.284620517097581569e+02
2.157631359466222065e+01,1.999999907084288774e-09,1.000000000000000000e+01,4.609094039833862989e-06,2.157631359466221852e+02,1.294578815679733168e+02
2.174228523769808419e+01,1.999999907223718751e-09,1.000000000000000000e+01,4.646271686116241596e-06,2.174228523769808419e+02,1.304537114261885051e+02
2.190825688073394772e+01,1.999999907341727646e-09,1.000000000000000000e+01,4.683449332401019846e-06,2.190825688073394701e+02,1.314495412844036935e+02
2.207422852376981126e+01,1.999999907441503412e-09,1.000000000000000000e+01,4.720626978687840293e-06,2.207422852376981268e+02,1.324453711426188534e+02
2.224020016680567124e+01,1.999999907524845995e-09,1.000000000000000000e+01,4.757804624976499649e-06,2.224020016680567267e+02,1.334412010008340133e+02
2.240617180984153478e+01,1.999999907593644675e-09,1.000000000000000000e+01,4.794982271266789543e-06,2.240617180984153549e+02,1.344370308590492016e+02
2.257214345287739832e+01,1.999999907651515471e-09,1.000000000000000000e+01,4.832159917558303400e-06,2.257214345287739832e+02,1.354328607172643899e+02
2.273811509591326185e+01,1.999999907703836713e-09,1.000000000000000000e+01,4.869337563850438979e-06,2.273811509591326114e+02,1.364286905754795782e+02
2.290408673894912539e+01,1.999999907748961483e-09,1.000000000000000178e+01,4.906515210143380086e-06,2.290408673894912681e+02,1.374245204336947381e+02
2.307005838198498893e+01,1.999999907787714481e-09,1.000000000000000178e+01,4.943692856437035242e-06,2.307005838198498964e+02,1.384203502919099265e+02
2.323603002502085246e+01,1.999999907820474556e-09,1.000000000000000178e+01,4.980870502731361248e-06,2.323603002502085246e+02,1.394161801501251148e+02
2.340200166805671600e+01,1.999999907847178014e-09,1.000000000000000178e+01,5.018048149026364880e-06,2.340200166805671529e+02,1.404120100083403031e+02
2.356797331109257954e+01,1.999999907873668059e-09,1.000000000000000178e+01,5.055225795321393924e-06,2.356797331109257811e+02,1.414078398665554630e+02
2.373394495412844307e+01,1.999999907897438335e-09,1.000000000000000178e+01,5.092403441616727052e-06,2.373394495412844378e+02,1.424036697247706513e+02
2.389991659716430661e+01,1.999999907917950760e-09,1.000000000000000178e+01,5.129581087912424404e-06,2.389991659716430661e+02,1.433994995829858397e+02
2.406588824020017015e+01,1.999999907934697859e-09,1.000000000000000178e+01,5.166758734208543579e-06,2.406588824020016943e+02,1.443953294412010280e+02
2.423185988323603013e+01,1.999999907946855759e-09,1.000000000000000178e+01,5.203936380505176903e-06,2.423185988323602942e+02,1.453911592994161879e+02
2.439783152627189367e+01,1.999999907957217437e-09,1.000000000000000178e+01,5.241114026802011821e-06,2.439783152627189224e+02,1.463869891576313762e+02
2.456380316930775720e+01,1.999999907968791762e-09,1.000000000000000178e+01,5.278291673098710366e-06,2.456380316930775791e+02,1.473828190158465361e+02
2.472977481234362074e+01,1.999999907978372168e-09,1.000000000000000000e+01,5.315469319395632528e-06,2.472977481234362074e+02,1.483786488740617244e+02
2.489574645537948427e+01,1.999999907985609998e-09,1.000000000000000000e+01,5.352646965692817270e-06,2.489574645537948356e+02,1.493744787322769128e+02
2.506171809841534781e+01,1.999999907990011013e-09,1.000000000000000000e+01,5.389824611990318803e-06,2.506171809841534923e+02,1.503703085904921011e+02
2.522768974145121135e+01,1.999999907991110336e-09,1.000000000000000000e+01,5.427002258288190489e-06,2.522768974145121490e+02,1.513661384487072610e+02
2.539366138448707488e+01,1.999999907994364464e-09,1.000000000000000000e+01,5.464179904585821618e-06,2.539366138448707773e+02,1.523619683069224493e+02
2.555963302752293842e+01,1.999999907996653273e-09,1.000000000000000000e+01,5.501357550883560319e-06,2.555963302752294055e+02,1.533577981651376376e+02
2.572560467055880196e+01,1.999999907998030115e-09,1.000000000000000000e+01,5.538535197181401512e-06,2.572560467055880622e+02,1.543536280233528259e+02
2.589157631359466549e+01,1.999999907998519392e-09,1.000000000000000000e+01,5.575712843479341808e-06,2.589157631359466905e+02,1.553494578815679859e+02
2.605754795663052903e+01,1.999999907998115315e-09,1.000000000000000000e+01,5.612890489777382053e-06,2.605754795663053187e+02,1.563452877397831742e+02
2.622351959966638901e+01,1.999999907997468046e-09,1.000000000000000000e+01,5.650068136075448557e-06,2.622351959966639470e+02,1.573411175979983341e+02
2.638949124270225255e+01,1.999999907996968015e-09,1.000000000000000000e+01,5.687245782373499814e-06,2.638949124270225752e+02,1.583369474562135224e+02
2.655546288573811609e+01,1.999999907996434070e-09,1.000000000000000000e+01,5.724423428671554459e-06,2.655546288573812035e+02,1.593327773144286823e+02
2.672143452877397962e+01,1.999999907996021307e-09,1.000000000000000000e+01,5.761601074969596399e-06,2.672143452877398317e+02,1.603286071726438706e+02
2.688740617180984316e+01,1.999999907995883995e-09,1.000000000000000000e+01,5.798778721267606998e-06,2.688740617180984600e+02,1.613244370308590590e+02
2.705337781484570669e+01,1.999999907994825204e-09,1.000000000000000000e+01,5.835956367565720935e-06,2.705337781484571451e+02,1.623202668890742473e+02
2.721934945788157023e+01,1.999999907985684031e-09,1.000000000000000000e+01,5.873134013864739504e-06,2.721934945788157734e+02,1.633160967472894356e+02
2.738532110091743377e+01,1.999999907976162355e-09,1.000000000000000000e+01,5.910311660163801271e-06,2.738532110091744016e+02,1.643119266055045955e+02
2.755129274395329730e+01,1.999999907966373499e-09,1.000000000000000000e+01,5.947489306462892685e-06,2.755129274395330299e+02,1.653077564637197838e+02
2.771726438698916084e+01,1.999999907956430375e-09,1.000000000000000000e+01,5.984666952762001039e-06,2.771726438698916581e+02,1.663035863219349721e+02
2.788323603002502438e+01,1.999999907946447546e-09,1.000000000000000000e+01,6.021844599061114475e-06,2.788323603002502864e+02,1.672994161801501605e+02
2.804920767306088436e+01,1.999999907936537508e-09,1.000000000000000178e+01,6.059022245360218594e-06,2.804920767306089147e+02,1.682952460383653204e+02
2.821517931609674790e+01,1.999999907926814414e-09,1.000000000000000178e+01,6.096199891659303231e-06,2.821517931609675429e+02,1.692910758965804803e+02
2.838115095913261143e+01,1.999999907917391172e-09,1.000000000000000178e+01,6.133377537958353140e-06,2.838115095913261712e+02,1.702869057547956686e+02
2.854712260216847497e+01,1.999999907908381935e-09,1.000000000000000178e+01,6.170555184257357309e-06,2.854712260216847994e+02,1.712827356130108569e+02
2.871309424520433851e+01,1.999999907899899197e-09,1.000000000000000178e+01,6.207732830556302186e-06,2.871309424520434277e+02,1.722785654712260452e+02
