t,node1_u,node1_w,node1_x,node1_c1,node1_c2,node1_z,node1_h,node2_u,node2_w,node2_x,node2_c1,node2_c2,node2_z,node2_h
0.38,0.9711165778079364,0.9757965915541102,0.007732353578544938,0.004680013746225448,0.0022552560426654985,0.0019110439538985219,3.913408155972804e-05,0.9714157482881779,0.9760412454967171,0.007640660014670092,0.004625497208661988,0.0022294895444090667,0.001888473314951884,3.736451481981135e-05
0.385,0.9709796887707631,0.9756878625062645,0.0077795592235758776,0.004708173735552998,0.0022686212229457003,0.0019227004351699347,3.950803750800388e-05,0.9712775712388149,0.9759314523367177,0.007688246288741636,0.0046538810980246295,0.002242962523461064,0.0019002323386259979,3.777737149673766e-05
0.39,0.9708418195041667,0.9755783155943013,0.007827047561172914,0.004736496090186316,0.002282060474751959,0.0019344268038870571,3.98818246956321e-05,0.9711384176679142,0.9758208459398631,0.007736114206229375,0.004682428272069749,0.0022565100415750422,0.001912059082908447,3.818896052681556e-05
0.395,0.9707029657709972,0.9754679474855623,0.007874820177357494,0.004764981714616834,0.0022955741559260224,0.001946223315165983,4.0255483667373926e-05,0.9709982834590598,0.9757094228535885,0.00778426515353785,0.004711139394648522,0.0022701324196158328,0.0019239541037117704,3.859935497946913e-05
0.4,0.9705631233282551,0.9753567548352234,0.007922878646569055,0.004793631507020284,0.0023091626274067615,0.0019580902356485753,4.0629054768557386e-05,0.9708571644889687,0.9755971796286884,0.007832700547481525,0.0047400151398385585,0.002283829970573978,0.001935917942681944,3.900862719294007e-05
0.405,0.9704222879119884,0.9752447342625561,0.007971224530767049,0.004822446350619695,0.002322826251870206,0.001970027860335617,4.100257758059707e-05,0.9707150565952813,0.9754841128086448,0.007881421866780557,0.0047690562134813964,0.0022976029995342927,0.0019479511054985548,3.941684698355169e-05
0.41000000000000003,0.9702804552463753,0.9751318823683164,0.00801985939004163,0.00485142712199307,0.0023365653914909964,0.001982036497357575,4.137609125594893e-05,0.970571955591774,0.975370218929435,0.0079304306159487,0.004798263337778069,0.0023114518106595386,0.001960054081022475,3.9824082798984896e-05
0.41500000000000004,0.9701376210462688,0.9750181957411311,0.008068784786350649,0.004880574694914504,0.002350380407640957,0.0019941164615469285,4.174963464704205e-05,0.9704278572753295,0.9752554945193892,0.00797972831181453,0.004827637244175877,0.00232537670903974,0.0019722273499047345,4.0230402170831894e-05
0.42,0.9699937810341597,0.9749036709736209,0.008118002272217354,0.004909889939513468,0.00236427166324428,0.00200626807108024,4.2123246756922814e-05,0.9702827574524061,0.9751399361172906,0.008029316480649562,0.00485717866499976,0.002339377994758473,0.001984471387670266,4.063587298024725e-05
0.425,0.9698489308922521,0.9747883046074747,0.008167513412525041,0.004939373715274887,0.0023782395165321004,0.002018491670689867,4.249696529080022e-05,0.9701366518557056,0.9750235402262798,0.008079196694839459,0.00488688837068859,0.0023534559743180784,0.0019967866376998556,4.1040559185355314e-05
0.43,0.9697030662959922,0.9746720931761779,0.008217319774524893,0.004969026880237936,0.002392284324964849,0.002030787609072064,4.287082774330981e-05,0.9699895362059242,0.9749063033433847,0.008129370533540943,0.004916767137574064,0.002367610955448615,0.002009173538633392,4.144452411346056e-05
0.435,0.9695561829176558,0.9745550332099857,0.008267422926965253,0.004998850292382185,0.0024064064457413764,0.002043156235894275,4.324487152498995e-05,0.9698414062191446,0.9747882219626703,0.008179839577624517,0.0049468157436384505,0.002381843246473961,0.002021632528207448,4.1847830852344946e-05
0.44,0.9694082764213962,0.9744371212281596,0.008317824440988443,0.005028844806815836,0.002420606234854584,0.0020555979071752483,4.361913376365013e-05,0.9696922575953637,0.9746692925709208,0.008230605418738398,0.00497703497566898,0.0023961531570322703,0.002034164036394485,4.225054162432553e-05
